batch,repo,repo_name,total_vars,overall_score,overall_score_wo_missing,overall_score_exact,overall_score_wo_missing_exact,missing_ratio,depth_1_score,depth_2_score,depth_3_score,depth_4_score,depth_5_score,depth_1_score_exact,depth_2_score_exact,depth_3_score_exact,depth_4_score_exact,depth_5_score_exact,repo_a_consistency,repo_b_consistency,lower_than_5_average,lower_than_10_average,lower_than_5_average_exact,lower_than_10_average_exact
,fastapi_c4,fastapi_c4,1486,0.8963,0.9582,0.8755,0.936,0.0646,0.8862,0.8932,0.9035,0.9913,0.9323,0.8862,0.8596,0.8895,0.9672,0.5,1,1,0.7467,0.7696,0.6289,0.6624
,fastapi_c4_2,fastapi_c4_2,1486,0.8518,0.9267,0.8304,0.9034,0.0808,0.8709,0.8247,0.8847,0.9257,0.9635,0.8699,0.7914,0.8674,0.9016,0.5,1,1,0.7144,0.7363,0.582,0.617
,fastapi_g41,fastapi_g41,1486,0.4283,0.4423,0.3688,0.3808,0.0316,0.9004,0.1986,0.1745,0.1629,0.8307,0.9004,0.1176,0.0939,0.0,0.0,1,0,0.5028,0.5212,0.3177,0.3358
,fastapi_g41_2,fastapi_g41_2,1486,0.4307,0.4448,0.3782,0.3905,0.0316,0.9004,0.1996,0.1814,0.1875,0.8464,0.9004,0.1217,0.1436,0.0328,0.0,1,0,0.5157,0.5346,0.3438,0.3593
,fastapi_gem25,fastapi_gem25,1486,0.8812,0.9572,0.8607,0.9349,0.0794,0.873,0.8815,0.8831,0.9344,0.9323,0.872,0.8476,0.8674,0.9344,0.5,1,1,0.764,0.78,0.694,0.7135
,fastapi_gem25_2,fastapi_gem25_2,1486,0.8739,0.9492,0.854,0.9276,0.0794,0.8587,0.8761,0.8826,0.9344,0.9948,0.8577,0.8436,0.8619,0.9344,0.75,1,1,0.7675,0.7831,0.7044,0.7229
,fastapi_ll,fastapi_ll,1486,0.4783,0.8753,0.4125,0.7549,0.4536,0.5417,0.4731,0.3457,0.4201,0.5469,0.5407,0.4144,0.1989,0.0164,0.0,1,1,0.4001,0.4249,0.2917,0.3183
,fastapi_ll_2,fastapi_ll_2,1486,0.3384,0.8639,0.2981,0.7612,0.6083,0.4075,0.322,0.2436,0.2367,0.7344,0.4065,0.2807,0.1657,0.0328,0.25,1,46,0.4106,0.4358,0.3125,0.3371
,pre_commit_hooks_c37,pre_commit_hooks_c37,202,0.9165,0.9165,0.8366,0.9165,0.0,0.9932,0.9869,0.5571,,,0.9923,0.973,0.1143,,,0,0,1.0,0.9972,1.0,0.9942
,pre_commit_hooks_c37_2,pre_commit_hooks_c37_2,202,0.9932,0.9932,0.9901,0.9932,0.0,0.9932,0.9869,1.0,,,0.9923,0.973,1.0,,,0,0,1.0,0.9972,1.0,0.9942
,pre_commit_hooks_c4,pre_commit_hooks_c4,202,0.9915,0.9915,0.9851,0.9915,0.0,0.9932,0.9778,1.0,,,0.9923,0.9459,1.0,,,0,0,1.0,1.0,1.0,1.0
,pre_commit_hooks_c4_2,pre_commit_hooks_c4_2,202,0.9915,0.9915,0.9851,0.9915,0.0,0.9932,0.9778,1.0,,,0.9923,0.9459,1.0,,,0,0,1.0,1.0,1.0,1.0
,pre_commit_hooks_g41,pre_commit_hooks_g41,202,0.9483,0.9483,0.9257,0.9483,0.0,0.9548,0.9039,0.9712,,,0.9538,0.8378,0.9143,,,0,0,0.6384,0.6927,0.5625,0.6257
,pre_commit_hooks_g41_2,pre_commit_hooks_g41_2,202,0.9483,0.9483,0.9257,0.9483,0.0,0.9548,0.9039,0.9712,,,0.9538,0.8378,0.9143,,,0,0,0.6384,0.6927,0.5625,0.6257
,pre_commit_hooks_gem25,pre_commit_hooks_gem25,202,0.9715,0.9763,0.9406,0.9763,0.005,0.9786,0.9356,0.9829,,,0.9769,0.8378,0.9143,,,0,0,0.9766,0.9601,0.875,0.8468
,pre_commit_hooks_gem25_2,pre_commit_hooks_gem25_2,202,0.9715,0.9763,0.9406,0.9763,0.005,0.9786,0.9356,0.9829,,,0.9769,0.8378,0.9143,,,0,0,0.9766,0.9601,0.875,0.8468
